IMGT gene name	IMGT gene order
TRAV1-1	1
TRAV1-2	2
TRAV2	3
TRAV3	4
TRAV4	5
TRAV5	6
TRAV6	7
TRAV7	8
TRAVA	9
TRAV8-1	10
TRAV9-1	11
TRAV10	12
TRAV11	13
TRAV12-1	14
TRAV8-2	15
TRAV8-3	16
TRAVB	17
TRAV13-1	18
TRAV14-1	19
TRAV11-1	20
TRAV12-2	21
TRAV8-4	22
TRAV8-5	23
TRAV13-2	24
TRAV14/DV4	25
TRAV9-2	26
TRAV15	27
TRAV12-3	28
TRAV8-6	29
TRAV16	30
TRAV17	31
TRAV18	32
TRAV19	33
TRAVC	34
TRAV20	35
TRAV21	36
TRAV8-6-1	37
TRAV22	38
TRAV23/DV6	39
TRDV1	40
TRAV24	41
TRAV25	42
TRAV26-1	43
TRAV8-7	44
TRAV27	45
TRAV28	46
TRAV29/DV5	47
TRAV30	48
TRAV31	49
TRAV32	50
TRAV33	51
TRAV26-2	52
TRAV34	53
TRAV35	54
TRAV36/DV7	55
TRAV37	56
TRAV38-1	57
TRAV38-2/DV8	58
TRAV39	59
TRAV40	60
TRAV41	61
TRAV46	62
TRDV2	63
TRDD1	64
TRDD2	65
TRDD3	66
TRDJ1	67
TRDJ4	68
TRDJ2	69
TRDJ3	70
TRDC	71
TRDV3	72
TRAJ61	73
TRAJ60	74
TRAJ59	75
TRAJ58	76
TRAJ57	77
TRAJ56	78
TRAJ55	79
TRAJ54	80
TRAJ53	81
TRAJ52	82
TRAJ51	83
TRAJ50	84
TRAJ49	85
TRAJ48	86
TRAJ47	87
TRAJ46	88
TRAJ45	89
TRAJ44	90
TRAJ43	91
TRAJ42	92
TRAJ41	93
TRAJ40	94
TRAJ39	95
TRAJ38	96
TRAJ37	97
TRAJ36	98
TRAJ35	99
TRAJ34	100
TRAJ33	101
TRAJ32	102
TRAJ31	103
TRAJ30	104
TRAJ29	105
TRAJ28	106
TRAJ27	107
TRAJ26	108
TRAJ25	109
TRAJ24	110
TRAJ23	111
TRAJ22	112
TRAJ21	113
TRAJ20	114
TRAJ19	115
TRAJ18	116
TRAJ17	117
TRAJ16	118
TRAJ15	119
TRAJ14	120
TRAJ13	121
TRAJ12	122
TRAJ11	123
TRAJ10	124
TRAJ9	125
TRAJ8	126
TRAJ7	127
TRAJ6	128
TRAJ5	129
TRAJ4	130
TRAJ3	131
TRAJ2	132
TRAJ1	133
TRAC	134
